name,salary_from,salary_to,salary_currency,area_name,published_at
Начинающего специалиста по сервисному обслуживанию банковского оборудования,75000.0,,RUR,Одинцово,2022-12-05T11:57:26+0300
Менеджер проекта,100000.0,,RUR,Нижний Новгород,2022-12-05T09:02:48+0300
Дизайнер одежды,30000.0,,RUR,Липецк,2022-12-05T08:19:27+0300
Программист Python,115000.0,220000.0,RUR,Ярославль,2022-12-05T08:59:49+0300
Senior QA Engineer,5000.0,6500.0,USD,Тбилиси,2022-12-05T10:44:02+0300
Ученик оператора станков с ЧПУ,24200.0,,RUR,Екатеринбург,2022-12-05T07:24:56+0300
Оператор вакуумного пресса (мебельное производство),70000.0,90000.0,RUR,Санкт-Петербург,2022-12-05T08:49:07+0300
Главный программист отдела по обработке и визуализации пространственных и больших данных,50000.0,,RUR,Тюмень,2022-12-05T08:16:50+0300
Системный администратор (г. Звенигород),92000.0,97000.0,RUR,Одинцово,2022-12-05T11:21:16+0300
Стажер по сетям (в Банк),40000.0,,RUR,Москва,2022-12-05T10:30:28+0300
Инженер Отдела технической поддержки,150000.0,180000.0,KZT,Алматы,2022-12-05T06:50:54+0300
Разработчик 1С,600000.0,,KZT,Алматы,2022-12-05T06:11:25+0300
Механик (по вспомогательной технике),266000.0,320000.0,KZT,Актобе,2022-12-05T08:02:07+0300
Проектный менеджер,335000.0,,KZT,Алматы,2022-12-05T08:37:39+0300
Оператор Службы технической поддержки,,180000.0,KZT,Астана,2022-12-05T07:23:29+0300
Специалист по информационной безопасности,400000.0,400000.0,KZT,Алматы,2022-12-05T06:38:49+0300
Консультант 1С,400000.0,,KZT,Алматы,2022-12-05T08:14:43+0300
Дизайнер копицентра,30000.0,35000.0,RUR,Санкт-Петербург,2022-12-05T11:07:45+0300
Менеджер проекта,158000.0,335000.0,RUR,Казань,2022-12-05T08:54:09+0300
Специалист по информационной безопасности,40000.0,45000.0,RUR,Ярославль,2022-12-05T09:16:41+0300
Web-аналитик,100000.0,,RUR,Краснодар,2022-12-05T09:17:31+0300
Эксперт Отдела анализа операционной эффективности,75000.0,,RUR,Ульяновск,2022-12-05T11:05:30+0300
Инженер связи,60000.0,,RUR,Казань,2022-12-05T09:43:09+0300
Системный администратор службы поддержки клиентов,40000.0,60000.0,RUR,Уфа,2022-12-05T09:16:50+0300
Графический дизайнер,35000.0,,RUR,Улан-Удэ,2022-12-05T04:09:50+0300
Ночной помощник системного администратора в Yandex Cloud,32400.0,81000.0,RUR,Нижневартовск,2022-12-05T09:22:46+0300
Руководитель проекта,100000.0,150000.0,RUR,Екатеринбург,2022-12-05T06:38:10+0300
Ведущий аналитик,49000.0,,RUR,Рязань,2022-12-05T09:46:04+0300
Гравер,36000.0,,RUR,Уфа,2022-12-05T08:27:32+0300
Монтажник радиоэлектронной аппаратуры,40000.0,,RUR,Уфа,2022-12-05T08:27:59+0300
Оператор станков с ЧПУ,120000.0,,RUR,Владимир,2022-12-05T09:47:22+0300
Системный администратор,35000.0,100000.0,RUR,Владивосток,2022-12-05T03:43:11+0300
Механик,130000.0,170000.0,RUR,Комсомольск-на-Амуре,2022-12-05T04:46:14+0300
Ведущий Разработчик встроенного ПО/Программист встраиваемых систем DSP/Embedded software developer,150000.0,,RUR,Москва,2022-12-05T09:10:44+0300
Технический специалист (IT),200000.0,300000.0,KZT,Алматы,2022-12-05T10:00:43+0300
Механик,160000.0,160000.0,RUR,Комсомольск-на-Амуре,2022-12-05T05:35:26+0300
Руководитель проектов,90000.0,,RUR,Санкт-Петербург,2022-12-05T10:05:56+0300
Механик по ремонту,130000.0,,RUR,Иркутск,2022-12-05T05:34:17+0300
Программист С++,35000.0,100000.0,RUR,Воронеж,2022-12-05T11:17:58+0300
Специалист технической поддержки программного обеспечения,30000.0,,RUR,Новосибирск,2022-12-05T05:29:46+0300
Системный администратор,40014.0,,RUR,Губкин,2022-12-05T10:20:23+0300
Бренд - менеджер,,80000.0,RUR,Екатеринбург,2022-12-05T06:33:20+0300
Специалист по информационной безопасности,50000.0,,RUR,Якутск,2022-12-05T11:26:59+0300
Программист 1С,140000.0,140000.0,RUR,Москва,2022-12-05T09:47:09+0300
Инженер отдела согласований,45000.0,45000.0,RUR,Стерлитамак,2022-12-05T10:27:22+0300
Начальник грузового района,,160000.0,RUR,Тюмень,2022-12-05T09:43:19+0300
Системный администратор,1300.0,,BYR,Минск,2022-12-05T09:11:06+0300
Обрубщик,43680.0,,RUR,Тула,2022-12-05T10:53:28+0300
Фрезеровщик (универсал),110000.0,130000.0,RUR,Нижний Новгород,2022-12-05T09:16:49+0300
Графический дизайнер,40000.0,40000.0,RUR,Новосибирск,2022-12-05T10:18:57+0300
Консультант 1C,50000.0,,RUR,Тюмень,2022-12-05T08:53:06+0300
E-mail-маркетолог/аккаунт-менеджер в службу поддержки платформы e-mail маркетинга,100000.0,200000.0,RUR,Санкт-Петербург,2022-12-05T11:02:50+0300
Системный администратор,10000.0,,RUR,Пенза,2022-12-05T10:26:47+0300
Инженер сервисного отдела/техник,49000.0,54500.0,RUR,Москва,2022-12-05T11:50:54+0300
Инженер разработчик ПЛИС,130000.0,220000.0,RUR,Москва,2022-12-05T09:12:12+0300
Оператор станка с ЧПУ,46000.0,,RUR,Тула,2022-12-05T09:15:30+0300
Менеджер IT-отдела,50000.0,50000.0,RUR,Краснодар,2022-12-05T08:59:32+0300
Программист-стажер 1C,40000.0,,RUR,Пятигорск,2022-12-05T09:54:39+0300
Токарь,80000.0,100000.0,RUR,Новосибирск,2022-12-05T07:17:20+0300
Фрезеровщик-универсал,70000.0,,RUR,Владимир,2022-12-05T11:59:54+0300
Главный редактор двух детских журналов,50000.0,,RUR,Москва,2022-12-05T11:02:34+0300
Наладчик станков и манипуляторов с ПУ - ученик,40000.0,,RUR,Чебаркуль,2022-12-05T08:10:19+0300
.NET developer,120000.0,,RUR,Ростов-на-Дону,2022-12-05T10:26:35+0300
Android Разработчик / Android Developer,130000.0,180000.0,RUR,Белгород,2022-12-05T11:30:32+0300
Помощник технического специалиста 1С,45000.0,,RUR,Екатеринбург,2022-12-05T08:10:17+0300
Системный администратор,50000.0,,RUR,Тверь,2022-12-05T11:26:02+0300
Unreal Developer,500.0,1500.0,USD,Таиланд,2022-12-05T09:47:22+0300
